"","X","ID","DataType","ORIGINAL_TraitID","ORIGINAL_TraitDefinition","TraitValue","TraitUnit","N_TraitValue","ConTaxa","ResTaxa","ConTaxaStage","ResTaxaStage","Con_ForagingMovement","Con_RESDetectionDimensionality","Res_ForagingMovement","Res_CONDetectionDimensionality","CON_MASS_value","RES_MASS_value","ResArenaSize_SI_UNIT","ResDensity_SI_VALUE","ResDensityUnit","ResDensity","ResArenaSize_SI_VALUE","ConTemp","ResTemp","ResReplaceRate","ResReplaceUnit","ResReplace","TraitSIValue","TraitSIUnit","N_TraitID","N_TraitConversion","N_CONVERTED","N_TraitUnit","Original_ErrorValue","Original_ErrorValueUnit","Replicates","ConTaxon","ConStage","ConCommon","Con_MovementDimensionality","Con_Thermy","Res_MovementDimensionality","ResTaxon","ResStage","ResCommon","Res_Thermy","Habitat","LabField","ObservationtimeSI","ObservationtimeSIUnits","ConStarvationTimeSI","ConStarvationTimeSIUnits","ConArenaSiz_VALUE","ConArenaSize_UNIT","ConDensity","ConDensityUnit","ConDensity_SI_VALUE","ConDensityConst","ConSizType","CON_ORIGINAL_value","CON_ORIGINAL_unit","Con_Siz_reference","ResSizType","RES_ORIGINAL_value","RES_ORIGINAL_unit","Res_Siz_reference","Citation","FigureTable","a0","h0","Holling_AIC","Holling_gen_AIC","Poly_2_AIC","Poly_3_AIC","Holling_BIC","Holling_gen_BIC","Poly_2_BIC","Poly_3_BIC","BestAIC","BestBIC","q0"
"795",794,39908,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",2.8125,"individual / (1 individual *3 hrs)",3.26e-05,"Phytoseiulus persimilis DO","Tetranychus pacificus McGregor 1919","Phytoseiulus persimilis DO [adult]","Tetranychus pacificus McGregor 1919 [juvenile]","active","surface","active","surface",1.98e-08,1.89e-09,"square meter",1875,"Individuals per arena",3,0.0016,25,25,NA,"","no",NA,NA,NA,NA,NA,NA,0.1796,"SE",8,"Phytoseiulus persimilis","Adult","Predacious phytoseiid mite","2D","ectotherm","2D","Tetranychus pacificus McGregor","Protonymphs","Pacific spider mite","ectotherm","Terrestrial","Laboratory",86400,"seconds",NA,"",0.0016,"square meter",1,"Individuals per arena","","yes","wet mass","1.98E-008","kg","database","length",0.22,"mm","http://www.google.com/url?sa=t&source=web&cd=8&ved=0CEAQFjAH&url=http%3A%2F%2Fwww.springerlink.com%2Findex%2FH741QN25W88335R7.pdf&rct=j&q=Tetranychus%20protonymph&ei=7YWqTKfMJIv4swPug7C8Aw&usg=AFQjCNHtXx_UG71tmKJno4RT_12dcqODtA&sig2=rRpJ4jZyE5NT9mURUvA68g&cad=rja","Eveleigh E. S. and D. A. Chant. 1981. EXPERIMENTAL STUDIES ON ACARINE PREDATOR-PREY INTERACTIONS - EFFECTS OF PREDATOR AGE AND FEEDING HISTORY ON PREY CONSUMPTION AND THE FUNCTIONAL-RESPONSE (ACARINA PHYTOSEIIDAE). Canadian Journal of Zoology-Revue Canadienne De Zoologie 59:1387-1406.","Fig 5a","0.00338532043735609","2.04443281259018",-155.261166492848,-138.540093048397,-143.170160407701,-146.154852200325,-155.022841867809,-138.222326881678,-142.852394240981,-145.757644491926,NA,NA,"-3.09032118646428"
"803",802,39909,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",3.1923,"individual / (1 individual *3 hrs)",3.69e-05,"Amblyseius degenerans","Tetranychus pacificus McGregor 1919","Amblyseius degenerans [adult]","Tetranychus pacificus McGregor 1919 [juvenile]","active","surface","active","surface",4.97e-08,1.89e-09,"square meter",1875,"Individuals per arena",3,0.0016,25,25,NA,"","no",NA,NA,NA,NA,NA,NA,0.403,"SE",8,"Amblyseius degenerans","Adult","Predacious phytoseiid mite","2D","ectotherm","2D","Tetranychus pacificus McGregor","Protonymphs","Pacific spider mite","ectotherm","Terrestrial","Laboratory",86400,"seconds",NA,"",0.0016,"square meter",1,"Individuals per arena","","yes","length","0.7","mm","http://www.natural-insect-control.com/product.php?id=000000216","length",0.22,"mm","http://www.google.com/url?sa=t&source=web&cd=8&ved=0CEAQFjAH&url=http%3A%2F%2Fwww.springerlink.com%2Findex%2FH741QN25W88335R7.pdf&rct=j&q=Tetranychus%20protonymph&ei=7YWqTKfMJIv4swPug7C8Aw&usg=AFQjCNHtXx_UG71tmKJno4RT_12dcqODtA&sig2=rRpJ4jZyE5NT9mURUvA68g&cad=rja","Eveleigh E. S. and D. A. Chant. 1981. EXPERIMENTAL STUDIES ON ACARINE PREDATOR-PREY INTERACTIONS - EFFECTS OF PREDATOR AGE AND FEEDING HISTORY ON PREY CONSUMPTION AND THE FUNCTIONAL-RESPONSE (ACARINA PHYTOSEIIDAE). Canadian Journal of Zoology-Revue Canadienne De Zoologie 59:1387-1406.","Fig 5b","0.278888669183655","0.843890981378851",-145.548842177863,-143.549552734949,-139.795063650391,-145.121941061591,-145.310517552824,-143.231786568229,-139.477297483672,-144.724733353192,NA,NA,"0.924361504148692"
"811",810,39910,"new","Mass-Specific Volume Consumption Rate","The biovolume of resource consumed per unit mass of consumer per time",11130.4594,"cubic micrometer (yeast cell wet volume) / (gram (body mass - wet) * 1 hour)",0.014876593,"Xenopus laevis (Daudin 1802)","Saccharomyces cerevisiae Meyen ex E.C. Hansen","Xenopus laevis (Daudin 1802) [larva]","Saccharomyces cerevisiae Meyen ex E.C. Hansen [unicell]","active","sphere","passive","sphere",0.00129,2.68e-13,"cubic meter",307212945.5,"cubic micrometer (yeast wet cell biovolume) per milliliter",82363.7907,0.00025,20,20,NA,"","no",NA,NA,NA,NA,NA,NA,NA,"",NA,"Xenopus laevis","Tadpole","South African clawed frog","3D","ectotherm","3D","Saccharomyces cerevisiae","","Yeast","ectotherm","Freshwater","Laboratory",25200,"seconds",NA,"",0.00025,"cubic meter",1,"Individuals per arena","","yes","wet mass","1.29","g","original paper","cell volume",8,"micrometer","http://hypertextbook.com/facts/2000/JennyNg.shtml","SEALE D. B. 1982. OBLIGATE AND FACULTATIVE SUSPENSION FEEDING IN ANURAN LARVAE: FEEDING REGULATION IN XENOPUS AND RANA. Biol Bull 162:214-231.","Fig 1b",NA,NA,NA,NA,764.129391245162,763.882082239875,NA,NA,770.884909061617,772.326479510445,NA,NA,NA
"851",850,39911,"new","Mass-Specific Volume Consumption Rate","The biovolume of resource consumed per unit mass of consumer per time",20275.4353,"cubic micrometer (yeast cell wet volume) / (gram (body mass - wet) * 1 hour)",0.024998724,"Rana pipiens Schreber 1782","Saccharomyces cerevisiae Meyen ex E.C. Hansen","Rana pipiens Schreber 1782 [larva]","Saccharomyces cerevisiae Meyen ex E.C. Hansen [unicell]","active","sphere","passive","sphere",0.00119,2.68e-13,"cubic meter",3277881388,"cubic micrometer (yeast wet cell biovolume) per milliliter",878800,0.00025,20,20,NA,"","no",NA,NA,NA,NA,NA,NA,NA,"",NA,"Rana pipiens","Tadpole","Leopard frog","3D","ectotherm","3D","Saccharomyces cerevisiae","","Yeast","ectotherm","Freshwater","Laboratory",25200,"seconds",NA,"",0.00025,"cubic meter",1,"Individuals per arena","","yes","wet mass","1.19","g","original paper","cell volume",8,"micrometer","http://hypertextbook.com/facts/2000/JennyNg.shtml","SEALE D. B. 1982. OBLIGATE AND FACULTATIVE SUSPENSION FEEDING IN ANURAN LARVAE: FEEDING REGULATION IN XENOPUS AND RANA. Biol Bull 162:214-231.","Fig 1b",NA,NA,NA,NA,776.867019037184,778.332425021169,NA,NA,783.817697510318,787.020773112585,NA,NA,NA
"893",892,39912,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",1.7791,"individual / (1 individual *30 mins)",0.000988389,"Abramis brama Linneaus","Daphnia magna Straus 1820","Abramis brama Linneaus [juvenile]","Daphnia magna Straus 1820","active","sphere","active","sphere",0.003579192,2.78e-07,"cubic meter",1284.166667,"Individuals per arena",2.3115,0.0018,13.625,13.625,NA,"","no",NA,NA,NA,NA,NA,NA,0.3604,"SE",12,"Abramis brama (L.)","Underyearling","Common bream","3D","ectotherm","3D","Daphnia magna Straus","adult","Daphnia","ectotherm","Freshwater","Laboratory",1800,"seconds",172800,"seconds",0.0018,"cubic meter",1,"Individuals per arena","","yes","fork length","6.35","cm","original paper","length",2922,"micrometer","original paper","Townsend C. R. and A. J. Risebrow. 1982. THE INFLUENCE OF LIGHT LEVEL ON THE FUNCTIONAL-RESPONSE OF A ZOOPLANKTONIVOROUS FISH. Oecologia 53:293-295.","Fig 2a","0.418529470847968","0.228375366351847",-83.2565717483138,-60.0148284800545,-99.2707204579906,-125.961448916952,-83.0182471232743,-59.6970623133351,-98.9529542912713,-125.564241208553,NA,NA,"-4.94341546902433"
"901",900,39913,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",4.3,"individual / (1 individual *day)",4.98e-05,"Chionoecetes bairdi M. J. Rathbun 1924","Protoceratium reticulatum (Claparde & Lachmann) Butschli","Chionoecetes bairdi M. J. Rathbun 1924 [zoeae]","Protoceratium reticulatum (Claparde & Lachmann) Butschli [adult]","active","sphere","passive","sphere",1.37e-07,3.35e-11,"cubic meter",7300000,"Individuals per liter",7300,0.00025,5,5,NA,"","yes",NA,NA,NA,NA,NA,NA,NA,"",NA,"Chionoecetes bairdi","Day old zoeae","Tanner crab","3D","ectotherm","3D","Protoceratium reticulatum","adult","Gonyaulacine dinoflagellate","ectotherm","Marine","Laboratory",86400,"seconds",NA,"",0.00025,"cubic meter",100,"Individuals per arena","","yes","dry weight","59","microgram","pdf","length",40,"micrometer","original paper","INCZE L. S. and A. J. PAUL. 1983. GRAZING AND PREDATION AS RELATED TO ENERGY NEEDS OF STAGE I ZOEAE OF THE TANNER CRAB CHIONOECETES BAIRDI (BRACHYURA MAJIDAE). Biol Bull 165:197-208.","Table 3","2.41598804517692","1.70545810009026",-69.5780259467749,-44.9703622786649,-94.4820577773414,NA,-71.4191428634152,-47.4251848341854,-96.9368803328618,NA,NA,NA,"-3.25148265808821"
"905",904,39914,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",2910,"individual / (1 individual * hr)",0.808333333,"Daphnia magna Straus 1820","Chlamydomonas reinhardtii P.A.Dang","Daphnia magna Straus 1820","Chlamydomonas reinhardtii P.A.Dang","active","sphere","active","sphere",2.33e-07,3e-13,"cubic meter",1024135500,"Individuals per cubic centimeter",1024.1355,1e-04,20,20,NA,"","",NA,NA,NA,NA,NA,NA,464,"95%CI",8,"Daphnia magna","Adult","Daphnia","3D","ectotherm","3D","Chlamydomonas reinhardi","adult","Unicellular alga","ectotherm","Freshwater","Laboratory",600,"seconds",NA,"",1e-04,"cubic meter",10,"Individuals per arena","","yes","length","2.7","mm","orginal paper","dry mass",5.4e-05,"micrograam","orginal paper","Porter K. G. J. Gerritsen and J. D. Orcutt Jr. 1982. The Effect of Food Concentration on Swimming Patterns Feeding Behavior Ingestion Assimilation and Respiration by Daphnia. Limnology and Oceanography 27:935-949.","Fig 1",NA,NA,NA,NA,47.7374664437837,49.7326677795561,NA,NA,49.3290475349772,51.7221441435479,NA,NA,NA
"916",915,39915,"new","Resource Mass Consumption Rate","The mass of resource consumed by consumers per time",0.3254,"gram (biomass - dry) / (individual * 1 minute)",0.007479744,"Odocoileus hemionus (Rafinesque 1817)","sedges & grasses","Odocoileus hemionus (Rafinesque 1817) [juvenile (1 yr)]","sedges & grasses [tiller]","active","surface","sessile","surface",42,0.001949111,"square meter ",1.482754753,"kg (body - dry) per hectare",10.751,NA,38,NA,NA,"","no",NA,NA,NA,NA,NA,NA,NA,"",NA,"Odocoileus hemionus hemionus","Yearling","Mule deer","2D","endotherm","2D","Poa pratensis Dactylis glomerata Bromus inermis","","Kentucky bluegrass (Poa pratensis) orchardgrass (Dactylis glomerata) smooth brome (Bromus inermis)","ectotherm","Terrestrial","field",300,"seconds",64800,"seconds",NA,"",1,"Individuals per arena","","yes","wet mass","42","kg","original","length",652.4,"mm","http://plants.usda.gov/java/charProfile?symbol=POPR http://plants.usda.gov/java/charProfile?symbol=DAGL http://plants.usda.gov/java/charProfile?symbol=BRIN2","Wickstrom M. L. C. T. Robbins T. A. Hanley D. E. Spalinger and S. M. Parish. 1984. FOOD-INTAKE AND FORAGING ENERGETICS OF ELK AND MULE DEER. Journal of Wildlife Management 48:1285-1301.","Fig 1","0.652194184713586","0.305126706094742",-78.196556735517,-76.797993829078,-71.9836439506832,-71.725748574489,-76.741836786153,-74.858367229926,-70.0440173515312,-69.301215325549,NA,NA,"-0.194885325618088"
"928",927,39916,"new","Resource Mass Consumption Rate","The mass of resource consumed by consumers per time",3.635,"gram (biomass - dry) / (individual * 1 minute)",0.083555228,"Cervus canadensis (Erxleben 1777)","sedges & grasses","Cervus canadensis (Erxleben 1777) [subadult]","sedges & grasses [tiller]","active","surface","sessile","surface",168.5,0.001949111,"square meter ",40.95452481,"kg (body - dry) per hectare",296.9487,NA,38,NA,NA,"","no",NA,NA,NA,NA,NA,NA,NA,"",NA,"Cervus elaphus nelsoni","2 Year old","Elk","2D","endotherm","2D","Poa pratensis Dactylis glomerata Bromus inermis","","Kentucky bluegrass (Poa pratensis) orchardgrass (Dactylis glomerata) smooth brome (Bromus inermis)","ectotherm","Terrestrial","field",300,"seconds",64800,"seconds",NA,"",1,"Individuals per arena","","yes","wet mass","168.5","kg","original","length",652.4,"mm","http://plants.usda.gov/java/charProfile?symbol=POPR http://plants.usda.gov/java/charProfile?symbol=DAGL http://plants.usda.gov/java/charProfile?symbol=BRIN2","Wickstrom M. L. C. T. Robbins T. A. Hanley D. E. Spalinger and S. M. Parish. 1984. FOOD-INTAKE AND FORAGING ENERGETICS OF ELK AND MULE DEER. Journal of Wildlife Management 48:1285-1301.","Fig 1","0.165290974267483","2.63391487252564",-27.0821365785711,5.11547138386619,-18.7100062746151,-33.8079571375014,-27.2444061314051,4.89911198008744,-18.9263656783939,-34.0784063922249,NA,NA,"-3.8396803685464"
"935",934,39917,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",2.8931,"Individual/(Individual*120 mins)",0.000401819,"Cyrtorhinus lividipennis Reuter 1885","Nilaparvata lugens (Stl 1854)","Cyrtorhinus lividipennis Reuter 1885 [adult - female]","Nilaparvata lugens (Stl 1854) [egg]","active","surface","sessile","surface",1.04e-06,8.4e-08,"square meter ",626.825622,"Individuals per arena",4,0.00638136,28,28,NA,"","no",NA,NA,NA,NA,NA,NA,0.5017,"SD",10,"Cyrtorhinus lividipennis","Adult female","Mirid bug","2D","ectotherm","2D","Nilaparvata lugens (Stal)","Egg","Brown planthopper","ectotherm","Terrestrial","Laboratory",86400,"seconds",28800,"seconds",0.00638136,"square meter ",1,"Individuals per arena","","yes","length","3.04","mm","pdf","length",0.95,"mm","pdf","Sivapragasam A. and A. Asma. 1985. DEVELOPMENT AND REPRODUCTION OF THE MIRID BUG CYRTORHINUS-LIVIDIPENNIS (HETEROPTERA MIRIDAE) AND ITS FUNCTIONAL-RESPONSE TO THE BROWN PLANTHOPPER. Applied Entomology and Zoology 20:373-379.","Fig 2","0.54165124346388","0.0322733725739734",-79.5839908211318,-52.864708090069,-80.4695711122276,-82.3943005849536,-80.7556770838295,-54.4269564403326,-82.0318194624912,-84.3471110227831,NA,NA,"-4.61609241785482"
"940",939,39918,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",0.8938,"Individual/(Individual*1 mins)",0.014896667,"Haematopus ostralegus Linnaeus 1758","Scrobicularia plana Da Costa 1778","Haematopus ostralegus Linnaeus 1758 [adult]","Scrobicularia plana Da Costa 1778 [adult]","active","surface","sessile","surface",0.46,0.000341138,"square meter ",6.088,"Individuals per square meter",6.088,0.663,38.5,NA,NA,"","no",NA,NA,NA,NA,NA,NA,0.2061,"95%CI",5,"Haematopus ostralegus L.","Adult","Oystercatcher ","2D","endotherm","2D","Scrobicularia plana (da Costa)","Adult","Bivalve ","ectotherm","Terrestrial","Laboratory",NA,"",34200,"seconds",0.663,"square meter ",1,"Individuals per arena","","yes","wet mass","460","g","original","length",35.5,"mm","original","Wanink J. and L. Zwarts. 1985. DOES AN OPTIMALLY FORAGING OYSTERCATCHER OBEY THE FUNCTIONAL-RESPONSE. Oecologia 67:98-106.","Fig 13","0.0199161450884067","0.301234846481098",-63.0468490122718,-78.1262833916365,-83.9744060452292,-82.0777663267102,-62.4551752802631,-77.3373850822917,-83.1855077358843,-81.0916434400291,NA,NA,"4.12382710259408"
"949",948,39919,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",3.9353,"Individual/(Individual*1 hr)",0.001093139,"Ranatra dispar ????","Anisops deanei Brooks 1951","Ranatra dispar ???? [instar 5]","Anisops deanei Brooks 1951 [instar 1-2]","sessile","half-sphere","active","sphere",0.000276558,5.35e-07,"cubic meter",4000,"Individuals per arena",4,0.001,22,22,NA,"","no",NA,NA,NA,NA,NA,NA,0.8673,"95%CI",5,"Ranatra dispar Montandon","Fifth instar","Water scorpion","3D","ectotherm","3D","Anisops deanei Brooks","Instars 1 & 2","Back-swimmer","ectotherm","Freshwater","Laboratory",86400,"seconds",86400,"seconds",0.001,"cubic meter",1,"Individuals per arena","","yes","length","40","mm","original","length",2.39,"mm","original","Bailey P. 1986. The Feeding Behaviour of a Sit and Wait Predator Ranatra dispar (Heteroptera: Nepidae): The Effect of Prey Density and Age Structure on the Number of Prey Eaten. Ethology 72:277-286.","Fig 1","0.597983348128107","0.572204395429831",-78.0430868106333,-76.0640437976176,-76.5365204803401,-77.9273631058519,-79.214773073331,-77.6262921478812,-78.0987688306037,-79.8801735436814,NA,NA,"0.95802915669723"
"954",953,39920,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",4.1367,"Individual/(Individual*1 hr)",0.001149083,"Ranatra dispar ????","Anisops deanei Brooks 1951","Ranatra dispar ???? [instar 5]","Anisops deanei Brooks 1951 [instar 3]","sessile","half-sphere","active","sphere",0.000276558,1.12e-06,"cubic meter",4000,"Individuals per arena",4,0.001,22,22,NA,"","no",NA,NA,NA,NA,NA,NA,1.0674,"95%CI",5,"Ranatra dispar Montandon","Fifth instar","Water scorpion","3D","ectotherm","3D","Anisops deanei Brooks","Instar 3","Back-swimmer","ectotherm","Freshwater","Laboratory",86400,"seconds",86400,"seconds",0.001,"cubic meter",1,"Individuals per arena","","yes","length","40","mm","original","length",3.32,"mm","original","Bailey P. 1986. The Feeding Behaviour of a Sit and Wait Predator Ranatra dispar (Heteroptera: Nepidae): The Effect of Prey Density and Age Structure on the Number of Prey Eaten. Ethology 72:277-286.","Fig 1","0.923917103220118","1.91448596467692",-67.9843292662398,-33.4540780049209,-67.1665687394551,-68.4629795894225,-69.1560155289375,-35.0163263551845,-68.7288170897187,-70.415790027252,NA,NA,"-4.97824881691486"
"959",958,39921,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",3.4464,"Individual/(Individual*1 hr)",0.000957333,"Ranatra dispar ????","Anisops deanei Brooks 1951","Ranatra dispar ???? [instar 5]","Anisops deanei Brooks 1951 [instar 4]","sessile","half-sphere","active","sphere",0.000276558,1.72e-06,"cubic meter",4000,"Individuals per arena",4,0.001,22,22,NA,"","no",NA,NA,NA,NA,NA,NA,0.6023,"95%CI",5,"Ranatra dispar Montandon","Fifth instar","Water scorpion","3D","ectotherm","3D","Anisops deanei Brooks","Instar 4","Back-swimmer","ectotherm","Freshwater","Laboratory",86400,"seconds",86400,"seconds",0.001,"cubic meter",1,"Individuals per arena","","yes","length","40","mm","original","length",4.36,"mm","original","Bailey P. 1986. The Feeding Behaviour of a Sit and Wait Predator Ranatra dispar (Heteroptera: Nepidae): The Effect of Prey Density and Age Structure on the Number of Prey Eaten. Ethology 72:277-286.","Fig 1","0.390535396481731","0.542551642612762",-55.4773175044068,-39.7045634639501,-63.6654254775771,-62.0028680176177,-56.6490037671045,-41.2668118142137,-65.2276738278407,-63.9556784554472,NA,NA,"-4.97138306964189"
"964",963,39922,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",3.54,"Individual/(Individual*1 hr)",0.000983333,"Ranatra dispar ????","Anisops deanei Brooks 1951","Ranatra dispar ???? [instar 5]","Anisops deanei Brooks 1951 [instar 5]","sessile","half-sphere","active","sphere",0.000276558,2.72e-06,"cubic meter",4000,"Individuals per arena",4,0.001,22,22,NA,"","no",NA,NA,NA,NA,NA,NA,0.5348,"95%CI",5,"Ranatra dispar Montandon","Fifth instar","Water scorpion","3D","ectotherm","3D","Anisops deanei Brooks","Instar 5","Back-swimmer","ectotherm","Freshwater","Laboratory",86400,"seconds",86400,"seconds",0.001,"cubic meter",1,"Individuals per arena","","yes","length","40","mm","original","length",5.74,"mm","original","Bailey P. 1986. The Feeding Behaviour of a Sit and Wait Predator Ranatra dispar (Heteroptera: Nepidae): The Effect of Prey Density and Age Structure on the Number of Prey Eaten. Ethology 72:277-286.","Fig 1","0.711013550211229","0.885532036155971",-63.2756622522961,-44.5682819772943,-61.4482538370184,-59.4846869040357,-64.4473485149938,-46.1305303275579,-63.010502187282,-61.4374973418652,NA,NA,"-3.4847039799206"
"969",968,39923,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",3.4279,"Individual/(Individual*1 hr)",0.000952194,"Ranatra dispar ????","Anisops deanei Brooks 1951","Ranatra dispar ???? [instar 5]","Anisops deanei Brooks 1951 [adult]","sessile","half-sphere","active","sphere",0.000276558,6.71e-06,"cubic meter",4000,"Individuals per arena",4,0.001,22,22,NA,"","no",NA,NA,NA,NA,NA,NA,0.334,"95%CI",5,"Ranatra dispar Montandon","Fifth instar","Water scorpion","3D","ectotherm","3D","Anisops deanei Brooks","Adult","Back-swimmer","ectotherm","Freshwater","Laboratory",86400,"seconds",86400,"seconds",0.001,"cubic meter",1,"Individuals per arena","","yes","length","40","mm","original","length",6.81,"mm","original","Bailey P. 1986. The Feeding Behaviour of a Sit and Wait Predator Ranatra dispar (Heteroptera: Nepidae): The Effect of Prey Density and Age Structure on the Number of Prey Eaten. Ethology 72:277-286.","Fig 1","0.0472506027459514","0.705687500163978",-69.9758618676242,-46.5665080085345,-65.2145925545405,-76.9750038469449,-71.1475481303219,-48.1287563587981,-66.7768409048041,-78.9278142847744,NA,NA,"-2.78484093490988"
"974",973,39924,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",0.32,"Individual/(Individual*1 day)",3.7e-06,"Tenodera sinensis ????","Drosophila melanogaster Meigen 1830","Tenodera sinensis ???? [instar 1]","Drosophila melanogaster Meigen 1830 [adult]","sessile","surface","active","surface",6.08e-06,7.67e-07,"square meter",26.59097425,"Individuals per arena",0.33,0.012410226,23,23,NA,"","yes",NA,NA,NA,NA,NA,NA,0.01,"SE",11,"Tenodera sinensis","First-instar","Praying mantis","2D","ectotherm","2D","Drosophila melanogaster Meign","Adult","Drosophila","ectotherm","Terrestrial","Laboratory",2160000,"seconds",NA,"",0.012410226,"square meter",1,"Individuals per arena","","yes","dry mass","2.375","mg","original","Length",2.5,"mm","http://en.wikipedia.org/wiki/Drosophila_melanogaster","Hurd L. E. and I. H. Rathet. 1986. FUNCTIONAL-RESPONSE AND SUCCESS IN JUVENILE MANTIDS. Ecology 67:163-167.","Table 1","3.02859959550871","1.24355865136638",-117.646637726291,-115.013925517581,-141.963220231393,-155.678863132124,-118.271359318606,-115.846887640669,-142.796182354481,-156.720065785983,NA,NA,"2.76349779916927"
"980",979,39925,"new","Resource Mass Consumption Rate","The mass of resource consumed by consumers per time",8.0129,"gram (biomass - dry) / (individual * 1 minute)",0.137244417,"Bison bison (Linnaeus 1758)","sedges & grasses","Bison bison (Linnaeus 1758)","sedges & grasses [tiller]","active","surface","sessile","surface",800,0.002615778,"square meter ",22.35259015,"kg (body - dry) per hectare",217.5062,NA,38,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"Bison bison (Linnaeus 1758)","Yearling to adult","American bison","2D","endotherm","sessile","Poa pratensis Bromus inermis Calamagrostis sp. Juncus sp.","","Grasses","ectotherm","Terrestrial","field",NA,"",NA,"",NA,"",1,"Individuals per arena","","yes","wet mass","800","kg","http://en.wikipedia.org/wiki/American_Bison","length",852.4,"mm","http://plants.usda.gov/java/charProfile?symbol=POPR http://plants.usda.gov/java/charProfile?symbol=BRIN2 http://plants.usda.gov/java/charProfile?symbol=CACA4","Hudson R. J. and S. Frank. 1987. FORAGING ECOLOGY OF BISON IN ASPEN BOREAL HABITATS. Journal of Range Management 40:71-75.","Fig 2","0.224276151719646","0.346370818983671",-57.2208011884174,-19.599692109773,-57.8528305514809,-58.6265495607623,-52.4702443730491,-13.2656163559486,-51.5187547976565,-50.7089548684818,NA,NA,"-2.85922958515584"
"1016",1015,39926,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",2.9,"Individual/(Individual*1 day)",3.36e-05,"Nabis kinbergii Reuter","Sidnia kinbergi Stal 1859","Nabis kinbergii Reuter [adult]","Sidnia kinbergi Stal 1859 [instar 4-5]","active","surface","active","surface",4.8616e-05,2e-06,"square meter",26.31578947,"Individuals per arena",1,0.038,22.5,22.5,NA,"","yes",NA,NA,NA,NA,NA,NA,0.9,"SD",8,"Nabis kinbergii Reuter","Adult","Pacific damsel bug","2D","ectotherm","2D","Sidnia kinbergi (Stal)","Instar 4-5","Australian crop mirid","ectotherm","Terrestrial","Laboratory",86400,"seconds",86400,"seconds",0.038,"square meter",1,"Individuals per arena","","yes","","","","","wet mass",2,"milligram","original","Siddique A. B. and R. B. Chapman. 1987. FUNCTIONAL-RESPONSE OF PACIFIC DAMSEL BUG NABIS-KINBERGII HEMIPTERA NABIDAE. Entomophaga 32:303-309.","Table 1","0.111353384535517","1.22693947232313",-104.00816689935,NA,-117.115015604511,-118.018838774373,-105.179853162048,NA,-118.677263954774,-119.971649212202,NA,NA,"3.19258256116882"
"1021",1020,39927,"new","Resource Consumption Rate","The number of resource consumed per number of consumers per time",0.3,"Individual/(Individual*1 day)",3.47e-06,"Nabis kinbergii Reuter","Sidnia kinbergi Stal 1859","Nabis kinbergii Reuter [instar 5]","Sidnia kinbergi Stal 1859 [instar 4-5]","active","surface","active","surface",3.76e-06,2e-06,"square meter",26.31578947,"Individuals per arena",1,0.038,22.5,22.5,NA,"","yes",NA,NA,NA,NA,NA,NA,0.5,"SD",8,"Nabis kinbergii Reuter","Instar 5","Pacific damsel bug","2D","ectotherm","2D","Sidnia kinbergi (Stal)","Instar 4-5","Australian crop mirid","ectotherm","Terrestrial","Laboratory",86400,"seconds",86400,"seconds",0.038,"square meter",1,"Individuals per arena","","yes","","","","","wet mass",2,"milligram","original","Siddique A. B. and R. B. Chapman. 1987. FUNCTIONAL-RESPONSE OF PACIFIC DAMSEL BUG NABIS-KINBERGII HEMIPTERA NABIDAE. Entomophaga 32:303-309.","Table 1","1.74433262961849","2.34202812837511",-102.115219114352,-108.571854221395,-105.100382481058,-103.221798230813,-103.28690537705,-110.134102571658,-106.662630831322,-105.174608668642,NA,NA,"1.92792804911733"
